theta,rho,beta_min,n,p,k,sigma,lambda_factor,average_mse,average_tpr,average_fdp,exact_support_recovery_rate,unsigned_support_recovery_rate,lambda_used,n_reps
17.475049637008908,0.6,1.0,120,1000,40,1.0,1.0,0.03491072176743635,0.36244999999999955,0.6888465274677747,0.0,0.0,0.6786140424415111,1000
17.475049637008908,0.6,1.0,120,1000,40,1.0,1.0,0.0348137313771648,0.36522500000000013,0.6864262085459591,0.0,0.0,0.6786140424415111,1000
55.70172071796589,0.6,0.5,1530,1000,40,1.0,1.0,0.0019186060554392918,0.9867000000000052,0.027205286531228917,0.212,0.212,0.19004994567451733,1000
21.843812046261135,0.6,1.0,150,1000,40,1.0,1.0,0.03167491468614397,0.4888750000000007,0.6347674060024283,0.0,0.0,0.6069708517540585,1000
21.843812046261135,0.6,1.0,150,1000,40,1.0,1.0,0.031478540466311995,0.49675000000000025,0.6289117569604794,0.0,0.0,0.6069708517540585,1000
21.843812046261135,0.6,1.0,150,1000,40,1.0,1.0,0.03168764586209809,0.4875000000000004,0.632495101287997,0.0,0.0,0.6069708517540585,1000
26.212574455513362,0.6,1.0,180,1000,40,1.0,1.0,0.028274650879390958,0.613075,0.5778085037185154,0.0,0.0,0.5540860454230366,1000
56.79391132027895,0.6,0.5,1560,1000,40,1.0,1.0,0.0018824559677473331,0.9880500000000048,0.025624487977674453,0.249,0.249,0.1882136712517511,1000
26.212574455513362,0.6,1.0,180,1000,40,1.0,1.0,0.02826992708010728,0.6142500000000005,0.576025413841922,0.0,0.0,0.5540860454230366,1000
30.58133686476559,0.6,1.0,210,1000,40,1.0,1.0,0.02477712797338576,0.731175000000001,0.518537471717185,0.0,0.0,0.5129839978561342,1000
30.58133686476559,0.6,1.0,210,1000,40,1.0,1.0,0.024843835363186465,0.7298999999999992,0.5220800723664223,0.0,0.0,0.5129839978561342,1000
30.58133686476559,0.6,1.0,210,1000,40,1.0,1.0,0.025009404536502744,0.7251000000000003,0.5230880928063576,0.0,0.0,0.5129839978561342,1000
34.950099274017816,0.6,1.0,240,1000,40,1.0,1.0,0.021492715280921323,0.8232249999999995,0.4644582333921269,0.0,0.0,0.47985259121880813,1000
58.978292524905065,0.6,0.5,1620,1000,40,1.0,1.0,0.0018333626539204957,0.988750000000004,0.02511067699474847,0.267,0.267,0.18469534847434554,1000
34.950099274017816,0.6,1.0,240,1000,40,1.0,1.0,0.021374259563269712,0.8288000000000001,0.4632500612380912,0.0,0.0,0.47985259121880813,1000
60.07048312721812,0.6,0.5,1650,1000,40,1.0,1.0,0.0017713682587138094,0.9910000000000043,0.023292311892589318,0.297,0.297,0.18300859763187663,1000
34.950099274017816,0.6,1.0,240,1000,40,1.0,1.0,0.021367715232763075,0.828475,0.46079632403631093,0.0,0.0,0.47985259121880813,1000
39.31886168327004,0.6,1.0,270,1000,40,1.0,1.0,0.01836809812604609,0.8929250000000007,0.4120670120000818,0.0,0.0,0.45240936162767414,1000
39.31886168327004,0.6,1.0,270,1000,40,1.0,1.0,0.018307947244029038,0.8960749999999991,0.41038675774151323,0.0,0.0,0.45240936162767414,1000
